City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kismayo,-0.3582,42.5454,26.19,76,98,7.67,SO,1676782458
84,hualmay,-11.0964,-77.6139,23.74,79,98,3.62,PE,1676782459
85,vestmannaeyjar,63.4427,-20.2734,4.54,80,100,7.29,IS,1676782460
86,le port,-20.9373,55.2919,29.94,71,52,1.11,RE,1676782461
87,pakxan,18.3778,103.6601,29.56,43,69,3.56,LA,1676782462
88,ardahan,41.1087,42.7022,-13.72,93,45,1.52,TR,1676782462
89,prainha,-1.8,-53.48,22.64,98,100,0.77,BR,1676782464
90,shelburne,44.0787,-80.2041,-1.89,92,100,2.91,CA,1676782246
91,erenhot,43.6475,111.9767,-4.09,29,0,5.59,CN,1676782465
92,solnechnyy,50.7214,136.6319,-11.74,82,99,2.0,RU,1676782466
93,nikolskoye,59.7035,30.7861,-5.05,92,100,4.96,RU,1676782467
94,tasiilaq,65.6145,-37.6368,-4.91,87,99,15.54,GL,1676782354
95,arequipa,-16.3989,-71.535,15.15,80,73,0.89,PE,1676782433
96,tiksi,71.6872,128.8694,-30.25,98,43,3.14,RU,1676782469
97,bulgan,48.8125,103.5347,-7.24,66,1,0.41,MN,1676782471
98,nome,64.5011,-165.4064,-13.96,72,100,1.54,US,1676782288
99,khatanga,71.9667,102.5,-14.29,91,100,7.42,RU,1676782472
100,bambous virieux,-20.3428,57.7575,27.34,94,75,4.63,MU,1676782473
101,phuket,8.0,98.25,31.12,62,20,4.12,TH,1676782474
102,doha,25.2867,51.5333,15.99,67,0,6.69,QA,1676782475
103,grand gaube,-20.0064,57.6608,27.43,74,68,2.68,MU,1676782475
104,port elizabeth,-33.918,25.5701,19.16,88,100,2.06,ZA,1676782476
105,beisfjord,68.3751,17.5988,-3.94,87,100,1.47,NO,1676782477
106,hilton head island,32.2163,-80.7526,11.66,76,0,3.09,US,1676782461
107,avarua,-21.2078,-159.775,28.03,78,75,4.63,CK,1676782478
108,petropavlovsk-kamchatskiy,53.0452,158.6483,-8.67,45,75,5.0,RU,1676782478
109,pisco,-13.7,-76.2167,24.03,83,94,4.63,PE,1676782212
110,codo,-4.4553,-43.8856,21.56,98,100,1.46,BR,1676782480
111,tautira,-17.7333,-149.15,27.54,76,22,3.68,PF,1676782480
112,mahebourg,-20.4081,57.7,27.36,94,75,4.63,MU,1676782481
113,xiaoweizhai,26.1903,107.5125,10.57,70,100,2.76,CN,1676782482
114,ostrovnoy,68.0531,39.5131,-5.53,86,100,9.53,RU,1676782482
115,arraial do cabo,-22.9661,-42.0278,24.17,93,100,6.67,BR,1676782483
116,lebu,-37.6167,-73.65,13.94,93,35,6.71,CL,1676782484
117,vanimo,-2.6741,141.3028,28.47,72,93,2.02,PG,1676782484
118,hithadhoo,-0.6,73.0833,27.32,75,100,2.66,MV,1676782352
119,flinders,-34.5833,150.8552,28.43,67,40,0.89,AU,1676782485
120,sfantu gheorghe,45.8667,25.7833,6.63,92,96,5.3,RO,1676782486
121,gewane,10.1664,40.6453,22.29,21,9,1.56,ET,1676782487
122,caravelas,-17.7125,-39.2481,23.66,93,8,0.98,BR,1676782488
123,acapulco,16.8634,-99.8901,24.98,71,30,2.0,MX,1676782385
124,valdemarpils,57.3707,22.5919,-0.38,73,28,6.39,LV,1676782489
125,pitimbu,-7.4706,-34.8086,27.33,77,14,3.34,BR,1676782489
126,bulqize,41.4917,20.2219,-1.82,77,8,1.1,AL,1676782490
127,clyde river,70.4692,-68.5914,-27.87,69,100,8.75,CA,1676782491
128,pochutla,15.7432,-96.4661,22.81,62,3,1.3,MX,1676782492
129,plattsburgh,44.6995,-73.4529,1.42,67,100,4.92,US,1676782211
130,jacareacanga,-6.2222,-57.7528,21.58,99,96,0.65,BR,1676782493
131,tuatapere,-46.1333,167.6833,15.85,77,89,3.45,NZ,1676782493
132,sheltozero,61.3667,35.3667,-8.86,90,83,6.89,RU,1676782494
133,morshansk,53.4435,41.8107,-8.08,94,100,4.22,RU,1676782495
134,burgeo,47.6167,-57.6152,-9.72,80,55,2.54,CA,1676782495
135,remontnoye,46.5614,43.6501,1.71,100,100,7.87,RU,1676782496
136,saldanha,-33.0117,17.9442,15.03,90,16,3.69,ZA,1676782497
137,nola,40.922,14.5329,12.23,80,99,1.56,IT,1676782497
138,hay river,60.8156,-115.7999,-29.01,76,20,2.57,CA,1676782498
139,gimli,50.6336,-96.9907,-9.99,79,100,7.2,CA,1676782498
140,kendari,-3.945,122.4989,31.58,58,85,1.76,ID,1676782499
141,geraldton,-28.7667,114.6,30.23,48,1,6.69,AU,1676782498
142,caconda,-13.7333,15.0667,13.3,84,79,1.2,AO,1676782500
143,east london,-33.0153,27.9116,19.52,94,20,1.54,ZA,1676782501
144,axim,4.8699,-2.2405,24.09,83,29,0.63,GH,1676782502
145,tynda,55.1667,124.7167,-12.2,76,100,3.81,RU,1676782503
146,port blair,11.6667,92.75,29.02,74,40,5.14,IN,1676782503
147,butaritari,3.0707,172.7902,26.73,78,19,2.45,KI,1676782505
148,lorengau,-2.0226,147.2712,28.25,73,58,0.77,PG,1676782506
149,dikson,73.5069,80.5464,-15.41,96,100,9.02,RU,1676782507
150,carnarvon,-24.8667,113.6333,28.45,64,1,8.19,AU,1676782508
151,taltal,-25.4,-70.4833,21.46,86,5,1.34,CL,1676782509
152,montrose,38.4166,-108.2673,-5.71,76,39,2.83,US,1676782510
153,pachino,36.7186,15.0907,10.42,77,0,3.95,IT,1676782511
154,xai-xai,-25.0519,33.6442,26.04,84,65,2.96,MZ,1676782512
155,bokoro,12.3807,17.0568,17.54,18,85,5.79,TD,1676782513
156,lincoln,40.8,-96.667,4.95,62,0,8.23,US,1676782505
157,novyy urengoy,66.0833,76.6333,-18.57,95,58,2.81,RU,1676782515
158,bastrop,32.7562,-91.8724,7.82,68,0,0.0,US,1676782516
159,verkhnevilyuysk,63.4453,120.3167,-24.6,91,85,2.54,RU,1676782517
160,ryuo,35.65,138.5,9.54,96,100,0.45,JP,1676782518
161,praia da vitoria,38.7333,-27.0667,13.2,100,20,2.74,PT,1676782519
162,campos novos,-27.4017,-51.225,9.6,94,29,2.57,BR,1676782520
163,tigzirt,36.8886,4.1198,13.12,52,28,2.71,DZ,1676782522
164,isangel,-19.55,169.2667,27.57,62,0,6.63,VU,1676782522
165,victoria,22.2855,114.1577,27.76,66,78,2.68,HK,1676782409
166,rameshki,57.3439,36.0453,-7.59,94,100,5.39,RU,1676782524
167,saint george,37.1041,-113.5841,6.33,51,0,2.06,US,1676782525
168,trincomalee,8.5711,81.2335,26.85,73,31,5.39,LK,1676782526
169,moramanga,-18.9333,48.2,21.38,91,100,0.91,MG,1676782527
170,tacoronte,28.4769,-16.4102,13.47,93,40,4.12,ES,1676782527
171,el jicaro,14.9167,-89.9,21.12,86,46,1.67,GT,1676782528
172,manjacaze,-24.7117,33.8828,25.22,88,42,2.64,MZ,1676782529
